,Date,Time,Activation,Q&A?,Pre-event tech check complete?,Partner,Title,Description,PS Manager,Moderator,Responsible for Screen Recording,Any technical issues?,Detail/ Comments,Reschedule required?,Reschedule status,Rescheduled Date,Rescheduled Time,Screen record UUID,Screen records link,Vimeo Link,Room Access Link,UUID_extracted
75,"Thursday, December 3",1pm - 1.30pm,Pre-recorded Masterclass,False,False,Huawei ,Women in the digital age,"Women make an enormous contribution to Europe's tech scene, and the industry could benefit hugely from better representation in ICT. Huawei continues to support Europe's female tech talent pool.",Conor,Clem,,,,,,,,,,,,
76,"Thursday, December 3",1pm- 1.45pm,Targeted RT,,,Accenture,Data and AI: Shape your winning strategy,"Business leaders understand the power data and AI have in helping them stay relevant and survive. This session will shed light on the capabilities needed to enable a truly data-driven enterprise, and on how to scale AI for real value.",Janina,Karl,,,,,,,,,,,,
77,"Thursday, December 3",1pm- 1.45pm,Targeted RT,,,Siemens,Diversity and inclusion? Not my problem!,Are business leaders willing and able to go beyond tokenism and actually do the hard work?,Janina,Paddy G,,,,,,,,,,,,
78,"Thursday, December 3",1pm- 1.45pm,Targeted RT,,,Siemens,Rethink competition: Unlocking the potential of IoT,"Digitalisation is a must, and can help us prepare for the future. Let’s discuss how IoT enables us to actively shape the world of tomorrow, and the role of new ecosystems in accelerating progress.",Janina,Keith,,,,,,,,,,,,
79,"Thursday, December 3",1pm- 1.45pm,GA RT,,,UBS,Working from home: The new normal or just a fad?,"""Hosted by Jelena Laketic, UBS.The Covid-19 pandemic brought working from home into focus, and created lots of buzz around it. But how will we work in the post-pandemic future? Will we be going back to the office, working remotely, or doing something in between? Please note this roundtable will be open for Web Summit attendees to watch, although active participation in this session is limited to those who RSVP.""",Rebecca C,Michael,,,,,,,,,,,,
80,"Thursday, December 3",1pm- 1.45pm,Targeted RT,,,Microsoft ,,,Conor,Jake,,,,,,,,,,,,
81,"Thursday, December 3",1.30pm - 2pm,Pre-recorded Masterclass,,False,AWS,Marketing essentials to build the right startup strategy,You’ve identified a pain point or a gap in the market – now is the time to build a proposition to address that customer need. How do you build a marketing strategy and messaging? How do you understand your customer? Learn about this and how to use those learnings to create your marketing plan.,Conor,Conor,,,,,,,,,,,,
82,"Thursday, December 3",1.30pm - 2pm,Live Masterclass,True,False,Springer Nature,How AI can support go-to-market and IP output during times of crisis,"AI tech has become indispensable in providing valuable scientific data from books, journals and databases. This data helps to assist in grasping the latest research quickly, especially during times of crisis such as Covid. Companies looking to diversify their product portfolios are coming to find that scientific data not only supports and informs product development, but is a core component of building new products and of IP generation for developers, programmers and scientists.",Rebecca C,Cathal,Micky,,,,,,,WS20_9_779548610_PTH_MTC,Hyperlink to Aaron folder,,,779548610
83,"Thursday, December 3",1.30pm - 2pm,Live Masterclass,False,False,CM.com,From conversation to conversion,"Consumer behavior is changing. Consumers expect real-time contact and personal interaction, and businesses are increasingly automating and personalising customer interaction through their favorite channels, such as WhatsApp, RCS and Apple Business Chat. In this masterclass, Jan Saan, CTO at CM.com, uses examples to guide you through the future of customer interaction. Join the session to increase your knowledge, and get tips about conversational commerce and the trend of personalisation.
",Gary,Gary,Nas,,,,,,,WS20_107_780050550_PTH_MTC,Hyperlink to Aaron folder,,,780050550
84,"Thursday, December 3",1.30pm - 2pm,Live Masterclass,True,False,European Investment Bank,The deep pitch: Diving into deep tech,"From micro-electronics, nanotech and photonics to industrial biotech, advanced manufacturing and quantum computing, deep tech stands at the forefront of the next generation of innovations. In this masterclass, EIB's Shiva Dustdar and Maria Lundqvist will discuss deep tech financing. You will gain exclusive insights from EIB Group experts on how to make a winning pitch to investors to get the right financing for your deep tech venture.",Allison,Henry,Grace,,,,,,,WS20_101_780050388_PTH_MTC,Hyperlink to Aaron folder,,,780050388
85,"Thursday, December 3",1.30pm - 2pm,Live Masterclass,False,False,British Embassy Lisbon,Cleantech: Scaling up net zero businesses,"A conversation with Tech Nation – the UK growth platform for tech companies and leaders – and its most innovative net zero startups. Join this session as part of #UKatWebSummit to talk about the challenges of scaling up net zero startups, and the importance of technology in the fight against climate change.",Beca,Beca,Fin,,,,,,,WS20_86_780050504_PTH_MTC,Hyperlink to Aaron folder,,,780050504
86,"Thursday, December 3",2pm - 2.30pm,Pre-recorded Masterclass,True,False,GTAI,"Germany: Punctual, serious…digital? – Part 2","Don’t believe Germany is digital? This overview of our digital hubs should give you an idea of how we connect entrepreneurs, investors, businesses and other partners. In this session, we’ll introduce our digital hubs for logistics, cybersecurity and smart systems – meet our founders and get to know their outstanding ideas and business models!",Rebecca C,Elaine,,,,,,,,,,,,
87,"Thursday, December 3",2pm - 2.30pm,Live Masterclass,False,False,Cloudflare,Zero Trust security system: A new way to secure internet traffic,"The Covid-19 pandemic has exposed the weaknesses of the traditional ‘castle-and-moat’ security model. Remote work has expanded attack surfaces infinitely outwards and, more than ever, organisations need to start from the assumption that their castle is already compromised.

Zero Trust has emerged as a compelling framework to address the failures.

Cloudflare will share its own approach, and how Cloudflare Access has helped thousands of organisations take their first steps toward Zero Trust.",Aaron,Cloudflare,Craig,,,,,,,WS20_12_779548639_PTH_MTC,Hyperlink to Aaron folder,,,779548639
88,"Thursday, December 3",2pm - 2.30pm,Pre-recorded Masterclass,,False,AWS,How to build a winning pitch deck,"While there's no perfect pitch deck, there are elements every investor looks for, and your deck better have them. Learn what's critical for every deck, what’s best left out, and how to combine everything to tell a compelling story about yourself and your startup, with lots of examples.",Conor,Aoileann,,,,,,,,,,,,
89,"Thursday, December 3",2pm - 2.30pm,Live Masterclass,True,False,European Commission (EIC),EIC: Fostering inclusion and gender equality in tech,"The EIC supports Europe’s global competitiveness by helping the best innovators develop and scale their groundbreaking ideas. While paying specific attention to gender balance, it supports high-risk, high-impact ideas, turning science into new business and accelerating the scale-up of ’game-changing’ innovators shaping the future.",Allison,Allison,Mirella,,,,,,,WS20_77_780050453_PTH_MTC,Hyperlink to Aaron folder,,,780050453
90,"Thursday, December 3",2pm- 2.45pm,Targeted RT,,,Accenture,Reimagining business through experience,"The powerful convergence of marketing and tech in today’s marketplace means brands are no longer built through advertising, but through experiences. Join this session to explore how companies are connecting deep human and business insights with the possibilities of tech to define and deliver new realities.",Janina,Eoin,,,,,,,,,,,,
91,"Thursday, December 3",2pm- 2.45pm,GA RT,,,XCDS,Under the hood of cloudless collaboration,"How can you enable team collaboration in a simple wifi network, and make your iPhone the nexus point of documents for co-editing, all without any external server? Which math model will match the tough requirements?",Aaron,Karena,,,,,,,,,,,,
92,"Thursday, December 3",2pm- 2.45pm,GA RT,,,NIUM,Scaling technology to meet demand,"Hosted by Nilesh Pathak, Nium. Companies, especially those in technology, have seen rapid growth in recent months. Learn tips and tricks on how you can scale your tech infrastructure according to customer demand. Please note this roundtable will be open for Web Summit attendees to watch, although active participation in this session is limited to those who RSVP.",Rebecca C,Rebecca C,,,,,,,,,,,,
93,"Thursday, December 3",2.30pm - 3pm,Live Masterclass,True,False,AWS,Ask an expert: Funding strategies,"As an entrepreneur, one of the biggest challenges you face throughout your startup journey is raising money. Regardless of whether you are looking for VC, seed, or angel funding, getting investors excited to invest can be a tricky game. Join Jonno Southam, senior VC business development manager, in this live session, during which he will be answering your questions on everything related to funding.",Conor,Conor,Jake,,,,,,,WS20_29_780050434_PTH_MTC,Hyperlink to Aaron folder,,,780050434
94,"Thursday, December 3",2.30pm - 3pm,Live Masterclass,True,False,European Commission (EIC),The new EIC fund – supporting innovative companies,"The EIC fund aims to stimulate the EU venture capital industry by supporting founders and high-risk innovative projects with equally high social and economic impact. It is a VC fund created by the European Commission to make direct equity investment in companies. The EIC fund fills the funding gap at the startup and scale-up stage, where currently the EU venture capital market underperforms when compared to the global venture capital market.",Allison,Clem,Michael,,,,,,,WS20_78_780050461_PTH_MTC,Hyperlink to Aaron folder,,,780050461
95,"Thursday, December 3",2.30pm - 3pm,Live Masterclass,False,False,Georgia Economic Development,Atlanta collision: Uniting tech and creative economies,"Georgia means business, from startups to creatives to corporate giants. The magic of our state is that all is possible. Our innovation ecosystem is anchored by Atlanta, where creative and tech collide. Our chemistry is a breeding ground for curiosity, creating a culture of tastemakers and leaders. We can't wait to see what you could bring to the mix. Join this session to find out how you can benefit from establishing your company in the Peach State. ",Gary,Gary,Fin,,,,,,,WS20_104_780050528_PTH_MTC,Hyperlink to Aaron folder,,,780050528
96,"Thursday, December 3",2.30pm - 3pm,Live Masterclass,False,False,Accenture,Pivot to value with Living Systems [Hosted by Accenture],"Companies that excel at tech adoption are ahead of the pack on revenue growth, customer centricity, profitability and agility. This session will look at how a Living Systems approach can help realise business value and innovation through a series of transformations, focusing on five key levers of change: strategy, organisation, practices, technology and talent.",Janina,Janina,Jen,,,,,,,WS20_131_858027449_PTH_MTC,Hyperlink to Aaron folder,,,858027449
97,"Thursday, December 3",2.30pm - 3pm,Pre-recorded Masterclass,False,False,Huawei ,Grow your business with Petal Search,Petal Search is a gateway between you and global Huawei users. Join this session to learn how to grow your business via the Unibox platform and how to bring accurate mobile app search with Search Kit.,Conor,Huawei,,,,,,,,,,,,
98,"Thursday, December 3",3pm - 3.30pm ,Live Masterclass,True,False,PitchBook,Discussing sustainable investment through a VC lens,"The presenters for this masterclass will provide trends and analysis of the impact investment landscape. Insights are based on PitchBook’s extensive impact fund research and its 2020 Sustainable Investment Survey. The latter ran in July 2020 with a global audience of more than 350 asset managers, institutional investors and other service providers.",Elaine,Elaine,Grace,,,,,,,WS20_90_780050493_PTH_MTC,Hyperlink to Aaron folder,,,780050493
99,"Thursday, December 3",3pm - 3.30pm ,Live Masterclass,True,False,Shell,Rethinking the 2020s – what might lie ahead?,COVID-19 is changing the world. Shell has considered the potential impacts of the crisis for the next decade. What societies prioritize could shape the future. Come explore the future with us.,Aaron,Ciara,Paddy G,,,,,,,WS20_21_780050389_PTH_MTC,Hyperlink to Aaron folder,,,780050389
100,"Thursday, December 3",3pm - 3.30pm ,Pre-recorded Masterclass,True,False,Sensorium,A new era of virtual ethics,"Are the long-awaited technologies of the entertainment industry – created in parallel and alternative reality – obliged to look for new ways to build a self-sufficient, holistic system of new ethics that regulate creativity, creation and interaction? Should a code of ethics be created for VR, which will regulate issues of respect for images and avatars, censorship of content, general issues of human rights, and the provision of freedom? Hosted by social VR platform Sensorium. ",Aaron,Aaron,,,,,,,,,,,,
101,"Thursday, December 3",3pm - 3.30pm ,Live Masterclass,False,False,Microsoft ,Get started with AI on Microsoft Azure,"AI empowers amazing new solutions and experiences, and Microsoft Azure provides easy-to-use services to help you get started. Join this session to learn how.",Conor,Beca,Marie,,,,,,,WS20_120_780050368_PTH_MTC,Hyperlink to Aaron folder,,,780050368
102,"Thursday, December 3",3pm - 3.30pm ,Pre-recorded Masterclass,False,False,Huawei ,Powering digital inclusion with technology,Tech4All is Huawei’s long-term digital inclusion initiative. It aims to ensure that everyone can benefit from digital tech and that everyone has a place in the digital world.,Conor,Tom,,,,,,,,,,,,
103,"Thursday, December 3",3pm- 3.45pm,Targeted RT,,,CI&T,"Agile for impact, not appearance","Agile is the standard operating model for many organisations, but many still struggle to effectively implement it. Join this session to discuss what's worked and what hasn't in getting a company to buy in to an agile mindset.",Janina,Cathal,,,,,,,,,,,,
104,"Thursday, December 3",3pm- 3.45pm,Targeted RT,,,Accenture,Protecting against cyber adversaries,"Cybersecurity is a growing strategic priority for all companies, impacting their leadership position. There's no chance for laggards, so we will discuss where to focus to be a leader, exploring 2020 observations, Covid's impact, and what to expect in 2021.",Janina,Henry,,,,,,,,,,,,
105,"Thursday, December 3",3pm- 3.45pm,GA RT,,,Hive Streaming,,,Rebecca C,Mirella,,,,,,,,,,,,
106,"Thursday, December 3",3pm- 3.45pm,Targeted RT,,,HERE Technologies,"Reset for growth: Reshaping the way we move, together","The spread of Covid-19 has put mobility under threat. In this session, we will discuss how the mobility ecosystem – operators, service providers and city planners – need to work together to reset for growth.",Janina,Nas,,,,,,,,,,,,
107,"Thursday, December 3",3pm- 3.45pm,GA RT,,,UBS,Game-changing pledge to bring greater gender diversity,"Hosted by Elcin Biren, UBS. Gender balance on boards and in senior management doesn't just encourage better leadership and governance – it also contributes to better all-round company performance. How can we embrace it? Please note this roundtable will be open for Web Summit attendees to watch, although active participation in this session is limited to those who RSVP.",Rebecca C,Craig,,,,,,,,,,,,
108,"Thursday, December 3",3.30pm - 4pm,Live Masterclass,True,False,KPMG,Helping corporates buy,"Having sat on both sides of the table, KPMG managing director Gerard Voogt has bought and sold services, and he knows what works and what doesn’t work.  If you want an inside track on how to be more successful when trying to sell to a corporate, then this is the session for you.",Allison,Allison,Karena,,,,,,,WS20_98_780050355_PTH_MTC,Hyperlink to Aaron folder,,,780050355
109,"Thursday, December 3",3.30pm - 4pm,Live Masterclass,True,False,Siemens,Creating a blueprint for future smart cities,"We are currently living through a special era in human history: the digital transformation moment. The connection between industry and infrastructure promises to reveal benefits that we still can’t fully appreciate. Siemens is part of several urbanisation projects in which we are seeing a glimpse of these new interconnected ecosystems – where intelligent grids, smart buildings and industries play seamlessly together, and where the power of IoT ​enables us to make better decisions.",Janina,Janina,Aoileann,,,,,,,WS20_15_779548663_PTH_MTC,Hyperlink to Aaron folder,,,779548663
110,"Thursday, December 3",3.30pm - 4pm,Live Masterclass,True,False,EDP,Green hydrogen: The next revolution in the energy sector,"Did you know that there is a 'new' element driving the decarbonisation of our society? Dive into the hydrogen world with EDP, and discover how unlocking hydrogen's powers can revolutionise the future of energy.",Allison,Rebecca C,Michael,,,,,,,WS20_75_780050433_PTH_MTC,Hyperlink to Aaron folder,,,780050433
111,"Thursday, December 3",3.30pm - 4pm,Pre-recorded Masterclass,False,False,Huawei ,Tech4All: Ireland marine protection,"In Ireland, the Tech4All initative utilises technology to protect marine species in the southern coastal area of the country. ",Conor,Eoin,,,,,,,,,,,,
112,"Thursday, December 3",4pm - 4.30pm,Pre-recorded Masterclass,False,False,Cisco ,"Future tech, made simple",Join Cisco's vice president and CTO of small business as they give a layman's description of the three critical technologies small businesses should embrace to empower their future.,Conor,Conor,,,,,,,,,,,,
113,"Thursday, December 3",4pm - 4.30pm,Live Masterclass,False,False,Invest in Turkey,Turkey: Reshaping emerging market VC thesis,The US$3.5 billion of exits from Turkey since 2018 is just the tip of the iceberg. Learn how Turkish entrepreneurs utilise local tech talent to build global technology powerhouses and drive outlier returns.,Gary,Aaron,Clem,,,,,,,WS20_70_780050447_PTH_MTC,Hyperlink to Aaron folder,,,780050447
114,"Thursday, December 3",4pm - 4.30pm,Live Masterclass,False,False,IOHK (Cardano),Blockchain adoption and utilisation: A tour of Cardano,"Cardano is an innovative proof-of-stake blockchain tech designed and developed by Input Output to be the platform for decentralised applications and use cases. The technology is being built to be robust, efficient, scalable and sustainable. Use cases around digital ID, authentication of goods, payments, track and trace, financial services, governance, and voting, are just a few examples of real-world applications that can benefit from being built on top of this platform.",Beca,Marie,Keith,,,,,,,WS20_97_780050479_PTH_MTC,Hyperlink to Aaron folder,,,780050479
115,"Thursday, December 3",4pm - 4.30pm,Live Masterclass,True,False,CI&T,Reinventing the operating model for digital innovation,"Companies have no shortage of ideas, but lack an execution model that balances the core business with continuous innovation at scale. Learn how the right operating model can deliver speed and resilience.",Janina,Elaine,Jen,,,,,,,WS20_112_780050592_PTH_MTC,Hyperlink to Aaron folder,,,780050592
116,"Thursday, December 3",4pm- 4.45pm,GA RT,,,Hive Streaming,Video in the enterprise: Should I worry about security?,"What are the implications of using video communication within the corporate space, and what can be done to protect intellectual property and prevent employee data from being exploited? Please note this roundtable will be open for Web Summit attendees to watch, however participation in this session is limited to those who RSVP.",Rebecca C,Fin,,,,,,,,,,,,
117,"Thursday, December 3",4pm- 4.45pm,GA RT,,,NeoTalent,Recruitment is broken. Can AI and blockchain fix it?,"As part of a talent ecosystem, we all face the increasing complexity of matching talent with mission. Technology already provides the tools to fix it, but this is far from being just a tech problem.",,Gary,,,,,,,,,,,,
118,"Thursday, December 3",4pm- 4.45pm,Targeted RT,,,PMI,Building resilience in times of disruption and uncertainty,"Leaders are facing unprecedented challenges that are emerging from a global health crisis and its economic and social fallout. How can we build resilience in businesses? In what ways can leaders build and transform a culture of resilience?
",Elaine,Karl,,,,,,,,,,,,
119,"Thursday, December 3",4pm- 4.45pm,Targeted RT,,,PMI,Citizen revolution: The power of low-code/no code,Understand how low-code/no-code can empower both individuals and organisations as this session focuses on the potential of citizen development in driving transformations.,Elaine,Micky,,,,,,,,,,,,
120,"Thursday, December 3",4.30pm - 5pm,Live Masterclass,False,False,Make My Money Matter,Unlocking your hidden superpower: Sustainable pensions,"Each year, we invest GB£20 billion through our corporate pensions. But where does this money go, and what kind of world is it building? Make My Money Matter, a campaign co-founded by filmmaker Richard Curtis, is calling for all pensions to be invested in building a better future for all. Join us to learn how purpose-led companies can increase their impact by aligning their staff pension scheme with their mission in order to achieve a net zero world.",Beca,Grace,Mirella,,,,,,,WS20_22_780050393_PTH_MTC,Hyperlink to Aaron folder,,,780050393
121,"Thursday, December 3",4.30pm - 5pm,Live Masterclass,False,False,Samsung NEXT,Where to begin your diversity and inclusion strategy,"Having a global diversity, equity and inclusion strategy is something that every tech company agrees is table stakes, yet action often lags ambition. Candice Morgan established a culture and practice at Pinterest that accelerated its DEI efforts around the globe. Now, she’s creating inclusive strategies for GV and its portfolio companies. Join Candice and Samsung Next’s head of D&I, Jiun Kimm, as they discuss the practical advice any company can deploy to start their DEI journey.",Beca,Paddy G,Nas,,,,,,,WS20_73_780050411_PTH_MTC,Hyperlink to Aaron folder,,,780050411
122,"Thursday, December 3",4.30pm - 5pm,Live Masterclass,False,False,Accenture,Drive cross-function collaboration [Hosted by Accenture],"As companies continue grappling with the adoption and implementation of digital technologies, they may easily lose sight of cross-function collaboration. In this masterclass, explore how, alongside efficiency and productivity, cross-funtion collaboration is becoming an increasingly important barometer for success in innovation, staying relevant, and driving profitable growth.",,Tom,Cathal,,,,,,,WS20_132_858027495_PTH_MTC,Hyperlink to Aaron folder,,,858027495
123,"Thursday, December 3",4.30pm - 5pm,Live Masterclass,False,False,Vienna Business Agency,Vienna: Find success in central Europe's talent hub,"Bridging western European entrepreneurial culture and central European talent and entrepreneurial spirit, the largest university city in the German-speaking area, Vienna, is an international talent hub and driver for R&D, technology, and innovation in Europe. Explore the city's strategy on sustainable growth, resilience and open data, learn about the tech scene, and gain practical insights on market entry, the latest FDI data, relevant support schemes, financing options and talent.",Beca,Beca,Ciara,,,,,,,WS20_109_780050568_PTH_MTC,Hyperlink to Aaron folder,,,780050568
124,"Thursday, December 3",4.30pm - 5pm,Pre-recorded Masterclass,False,False,Huawei ,HMS Core: Building open software/hardware capabilities,"Explore 50 HMS Core capabilities (including AR, AI and machine learning), and industry solutions (gaming, finance) for effective app innovation, growth and monetisation.",Conor,Janina,,,,,,,,,,,,
125,"Thursday, December 3",5pm - 5.30pm,Live Masterclass,False,False,Helsinki Bus Hub,How can fintech boost sustainable banking?,"Sustainability in the banking industry has historically referred to banking solutions that can take into account climate change. Recently, sustainable banking has also started to cover sustainability of private households due to the fact that household borrowing has grown considerably. Both challenges have large implications for the economy. To tackle them, lots of data is needed for new solutions. To handle this data, AI can help to create and develop new fintech solutions.",Gary,Eoin,Marie,,,,,,,WS20_5_779548567_PTH_MTC,Hyperlink to Aaron folder,,,779548567
126,"Thursday, December 3",5pm - 5.30pm,Live Masterclass,False,False,Samsung NEXT,Scaling new products and services with a design mindset,"‘Scale or fail,’ as the saying goes. But building a product that scales on a global level is extremely hard, especially when venturing into an entirely new category. Join Waymo head of design YooJung Ahn Travis Bogard, senior vice president and head of product at Samsung Next, as they discuss how design and an understanding of human needs combine to transcend cultural, societal and economic differences when scaling products and services.",Beca,Keith,Craig,,,,,,,WS20_105_780050535-PTH_MTC,Hyperlink to Aaron folder,,,780050535-PTH
127,"Thursday, December 3",5pm - 5.30pm,Live Masterclass,True,False,European Commission (DG GROW),EU support for SMEs in times of crisis and beyond,"During this masterclass, we will present you with the most important support tools for startups, scale-ups and more traditional SMEs that the European Union has at entrepreneurs' disposal. Join us and ask your questions.",Allison,Allison,,,,,,,,WS20_84_780050497_PTH_MTC,Hyperlink to Aaron folder,,,780050497
128,"Thursday, December 3",5pm - 5.30pm,Pre-recorded Masterclass,False,False,Huawei ,Sustainability challenges in the telecom industry,"5G and IoT offer great potential for energy saving and carbon neutrality, dependent on strong commitment and collaboration. Recognising the challenges and risks ahead will help to build green ICT.",Conor,Conor,,,,,,,,,,,,
129,"Thursday, December 3",5pm- 5.45pm,Targeted RT,,,CI&T,Unlock and scale a design-driven company culture,Design thinking is a human-centred process that gets problems solved faster. Let's discuss how to implement and scale a design-driven culture in your organisation in order to deliver results.,Janina,Karena,,,,,,,,,,,,
130,"Thursday, December 3",5pm- 5.45pm,Targeted RT,,,GALP,Solar energy for everyone: How is it possible?,"Solar energy is in the path of energy efficiency. The challenge is to open the eyes of every potential consumer, and to simplify the product and the financing options to be accessible for everyone.",Beca,Jake,,,,,,,,,,,,
131,"Thursday, December 3",5pm- 5.45pm,GA RT,,,NIUM,How to stay ahead in fintech's golden age,"Banking-as-a-Service is turning brands into banks. Why are big brands offering financial services, and what are the benefits? How do tech companies start offering their own financial solutions?",Rebecca,Michael,,,,,,,,,,,,
132,"Thursday, December 3",5.30 pm - 6pm,Pre-recorded Masterclass,False,False,GALP,Sustainable mobility: Changing the way we move,"Mobility is transversal in every organisation, as the movement of goods, people and services touches all aspects of the business. But many leaders assume that transitioning to sustainable mobility practices and using electric vehicles is too expensive or too unreliable to be a plausible solution. In this masterclass, GoWithFlow CEO Jane Hoffer will debunk the myths about electric mobility, showcasing the bottom-line business impacts of ‘going green’.
",Beca,Beca,,,,,,,,,,,,
133,"Thursday, December 3",5.30 pm - 6pm,Pre-recorded Masterclass,True,False,Startup Portugal (Landing.jobs),Attracting the right tech talent,"Building tech teams is as much about product development as it is about hiring the right people. Under Pedro Oliveira's leadershop, Landing.Jobs and Future.Works are about hiring and about developing career products. This makes him an expert on how to grow your business with the right tech team.",Elaine,Rebecca C,,,,,,,,,,,,
134,"Thursday, December 3",5.30 pm - 6pm,Pre-recorded Masterclass,True,False,Lisbon City Council,A quick-step guide to creating an innovation project in Portugal,"Funding and R&D tax incentives are widely available in Portugal companies. If you're an enterpreneur, a startup, an SME or a large company, and spend money developing new products, processes or services, or enhancing existing ones, it is likely you will qualify. We will explore how the application process works.",Elaine,Gary,,,,,,,,,,,,
135,"Thursday, December 3",5.30 pm - 6pm,Pre-recorded Masterclass,True,False,Lisbon City Council,HealthTech Lisboa: A new venture builder,"HealthTech Lisboa @ Lispolis is a Venture Builder, specialized in healthtech industry founded by a group of entrepreneurs and in a joint venture with Startup Lisboa. HealthTech Lisboa accelerates the growth of startups and unite pioneers in the field of healthtech. We’re here to connect the dots between innovative solutions, healthcare and the global market. We’re at the forefront of the digital paradigm shift in healthcare, and together, we can change world care.",Elaine,Clem,,,,,,,,,,,,
136,"Thursday, December 3",6pm - 6:30pm,Live Masterclass,True,False,Intel Ignite,Learn the essence of traction storytelling,"What do 100 startup exits, 80 million TED views, and US$5 billion in funding all have in common? Three people who helped shape the stories these companies and individuals used to get traction will share uncommon secrets of traction storytelling.",Elaine,Elaine,Karl,,,,,,,WS20_91_780050495_PTH_MTC,Hyperlink to Aaron folder,,,780050495
137,"Thursday, December 3",6pm - 6:30pm,Live Masterclass,False,False,HERE Technologies,Revolutionise urban mobility through collaboration,"2020 has been a transformation year for cities. Reshaping the way we move is now more important than ever. We need to accelerate change and innovation, not only to recover from the pandemic, but to take big steps towards more accessible and sustainable mobility in cities. Find out how we can work together, overcome challenges, and make mobility even better for future generations.",Janina,Janina,Aoileann,,,,,,,WS20_108_780050559_PTH_MTC,Hyperlink to Aaron folder,,,780050559
138,"Thursday, December 3",6pm- 6.45pm,Targeted RT,,,Race to Zero,,,Beca,Aaron,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,
140,"Friday, December 4",12pm- 12.45pm,GA RT,,,CM.com,,,Gary,Gary,,,,,,,,,,,,
141,"Friday, December 4",12:30pm- 1pm,Live Masterclass,True,False,Schneider Electric,The energy transition will be driven by innovation,"It has never been easier for businesses or homes to switch to renewable energy, to electrify vehicles and to take greater control of energy use. Learn how startups and corporations are innovating to build solutions in an industry that is disrupting.",Allison,Janina,Michael,,,,,,,WS20_63_780050404_PTH_MTC,Hyperlink to Aaron folder,,,780050404
142,"Friday, December 4",12:30pm- 1pm,Live Masterclass,True,False,European Investment Bank,Space tech: Making it further and farther – and back,"In this masterclass, European Investment Bank innovation finance advisors Maria Lundqvist and Jaro Toth will discuss what it takes to understand and benefit from the value of the new emerging space economy, and how space tech – such as earth observation – can help fight climate change. You will gain exclusive insights from these EIB Group experts on how to make a winning pitch to investors and get the financing you need to help your space venture take off.",Allison,Allison,Clem,,,,,,,WS20_102_780050399_PTH_MTC,Hyperlink to Aaron folder,,,780050399
143,"Friday, December 4",12:30pm- 1pm,Live Masterclass,False,False,Radar Payments,The race for new payment experiences starts now,"E-commerce and digital payments have boomed since the start of the pandemic. The year 2021 will see new players push the boundaries of innovation when it comes to the way we pay. What are the new trending payment methods, and how can we prepare for this shift in behaviours? This session is dedicated to fintechs, paytech, and banks that want to keep up with the fast pace of change in payment methods.",Gary,Elaine,Jake,,,,,,,WS20_127_858027227_PTH_MTC,Hyperlink to Aaron folder,,,858027227
144,"Friday, December 4",12:30pm- 1pm,Live Masterclass,False,False,CO2 Neutral Pro,Going green as a tech startup – where to start?,"A climate action masterclass with UN Climate Change and the Institute for Climate Leadership.
 
When running a startup, taking care of your business operations or marketing can consume most of your time. Making your company sustainable might not be your top priority. It’s about time to change that. Taking climate action through lowering your corporate carbon footprint will benefit not only the planet, but also your business. People want brands that make an impact. We'll show you where to start!",Beca,Beca,Karl,,,,,,,WS20_125_780050405_PTH_MTC,Hyperlink to Aaron folder,,,780050405
145,"Friday, December 4",12:30pm- 1pm,Live Masterclass,True,False,Enterprise Estonia (Alex),How to get work done in Estonia's digital nation,"Estonia was the first country to offer e-Residency, a digital identity that helps remote entrepreneurs start and run a company 100% online. Estonia is also a great place to bring your personal talent. Join this masterclass with e-Residency and Work in Estonia and learn how to start and run a company in Estonia fully online with e-Residency and how you can find a job in one of Estonia’s fast-growing startups, and learn more about Estonia's Startup Visa and Digital Nomad Visa.",Rebecca C,Rebecca C,Micky,,,,,,,WS20_89_780050491_PTH_MTC,,,,780050491
146,"Friday, December 4",1pm - 1.30pm,Live Masterclass,True,False,ABB,What does it mean to be sustainability manager at ABB,"Some years ago, the role of sustainability manager within an organisation used to be a mystery (just like the newest chief happiness officer, or Chandler Bing’s transponster job). With time, it has become a critical part of a company’s strategy, beyond branding, and a pillar for business resilience. Through this masterclass, discover what this role is all about, and make sure to find the right fish in the sea to support your operation and improve your performance.",Aaron,Aaron,Mirella,,,,,,,WS20_74_780050424_PTH_MTC,Hyperlink to Aaron folder,,,780050424
147,"Friday, December 4",1pm - 1.30pm,Live Masterclass,False,False,Altran,,,Gary,Fin,Craig,,,,,,,,Hyperlink to Aaron folder,,,
148,"Friday, December 4",1pm- 1.45pm,Targeted RT,,,Microsoft ,,,Conor,Eoin,,,,,,,,,,,,
149,"Friday, December 4",1.30pm - 2pm,Pre-recorded Masterclass,,False,AWS,Build a cost-efficient architecture,"Learn how to build a cost-efficient architecture for your startup. In this session, AWS startup solutions architech Tim Berger will go over recommendations to optimise costs for storage and compute.",Conor,Conor,,,,,,,,,,,,
